journal,issn-l,issn-e,categories
ACS CHEMICAL NEUROSCIENCE,1948-7193,1948-7193,"Biochemistry & Molecular Biology | Chemistry, Medicinal | Neurosciences"
ACS EARTH AND SPACE CHEMISTRY,2472-3452,2472-3452,"Chemistry, Multidisciplinary | Geochemistry & Geophysics"
ACS ENERGY LETTERS,2380-8195,2380-8195,"Chemistry, Physical | Electrochemistry | Energy & Fuels | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ACS INFECTIOUS DISEASES,2373-8227,2373-8227,"Chemistry, Medicinal | Infectious Diseases"
ACS MACRO LETTERS,,2161-1653,Polymer Science
ACS MATERIALS LETTERS,,2639-4979,"Materials Science, Multidisciplinary"
ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,1948-5875,"Chemistry, Medicinal"
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,Sport Sciences
ACS NANO,1936-0851,1936-086X,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ACS OMEGA,2470-1343,2470-1343,"Chemistry, Multidisciplinary"
ACS PHOTONICS,2330-4022,2330-4022,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Optics | Physics, Applied | Physics, Condensed Matter"
ACS SENSORS,2379-3694,2379-3694,"Chemistry, Multidisciplinary | Chemistry, Analytical | Nanoscience & Nanotechnology"
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,2168-0485,"Chemistry, Multidisciplinary | Green & Sustainable Science & Technology | Engineering, Chemical"
ACS SYNTHETIC BIOLOGY,2161-5063,2161-5063,Biochemical Research Methods
ACTA ACUSTICA,,2681-4617,Acoustics
ACTA ADRIATICA,0001-5113,1846-0453,Marine & Freshwater Biology | Oceanography
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,"Agriculture, Dairy & Animal Science"
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,Agronomy | Soil Science
ACTA ALIMENTARIA,0139-3006,1588-2535,Food Science & Technology | Nutrition & Dietetics
ACTA AMAZONICA,0044-5967,1809-4392,Plant Sciences | Ecology | Zoology
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,Anesthesiology
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1572-9036,"Mathematics, Applied"
ACTA ARITHMETICA,0065-1036,1730-6264,Mathematics
ACTA ASTRONAUTICA,0094-5765,1879-2030,"Engineering, Aerospace"
ACTA ASTRONOMICA,0001-5237,0001-5237,Astronomy & Astrophysics
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,Biochemistry & Molecular Biology | Biophysics
ACTA BIOCHIMICA POLONICA,,1734-154X,Biochemistry & Molecular Biology
ACTA BIOETHICA,0717-5906,1726-569X,Medical Ethics
ACTA BIOLOGICA COLOMBIANA,0120-548X,1900-1649,Plant Sciences | Zoology
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1898-0295,Plant Sciences
ACTA BIOMATERIALIA,1742-7061,1878-7568,"Engineering, Biomedical | Materials Science, Biomaterials"
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,Medical Laboratory Technology
ACTA BIOTHEORETICA,0001-5342,1572-8358,Mathematical & Computational Biology
ACTA BOTANICA BRASILICA,0102-3306,1677-941X,Plant Sciences
ACTA BOTANICA CROATICA,0365-0588,1847-8476,Plant Sciences
ACTA BOTANICA MEXICANA,,2448-7589,Plant Sciences
ACTA CARDIOLOGICA,0001-5385,1784-973X,Cardiac & Cardiovascular System
ACTA CARDIOLOGICA SINICA,1011-6842,1011-6842,Cardiac & Cardiovascular System
ACTA CARSOLOGICA,0583-6050,1580-2612,"Geosciences, Multidisciplinary"
ACTA CHIMICA SINICA,0567-7351,,"Chemistry, Multidisciplinary"
ACTA CHIMICA SLOVENICA,1318-0207,1580-3155,"Chemistry, Multidisciplinary"
ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,Zoology
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0001-5415,0001-5415,Orthopedics
ACTA CHIRURGICA BELGICA,0001-5458,2577-0160,Surgery
ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,"Chemistry, Analytical"
ACTA CIRURGICA BRASILEIRA,0102-8650,1678-2674,Surgery
ACTA CLINICA BELGICA,1784-3286,2295-3337,"Medicine, General & Internal"
ACTA CLINICA CROATICA,0353-9466,1333-9451,"Medicine, General & Internal"
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2053-2733,2053-2733,"Chemistry, Multidisciplinary | Crystallography"
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,,2052-5206,"Chemistry, Multidisciplinary | Crystallography"
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,2053-2296,"Chemistry, Multidisciplinary | Crystallography"
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2059-7983,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,,2053-230X,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography
ACTA CYTOLOGICA,0001-5547,1938-2650,Pathology
ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,Dermatology
ACTA DERMATOVENEROLOGICA CROATICA,1330-027X,1847-6538,Dermatology
ACTA DIABETOLOGICA,0940-5429,1432-5233,Endocrinology & Metabolism
ACTA ENDOCRINOLOGICA-BUCHAREST,1841-0987,1843-066X,Endocrinology & Metabolism
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,Entomology
ACTA ETHOLOGICA,0873-9749,1437-9546,Behavioral Sciences | Zoology
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1784-3227,Gastroenterology & Hepatology
ACTA GEODAETICA ET GEOPHYSICA,2213-5812,2213-5820,Geochemistry & Geophysics
ACTA GEODYNAMICA ET GEOMATERIALIA,1214-9705,,Geochemistry & Geophysics | Mining & Mineral Processing
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1581-6613,1581-8314,"Geography, Physical"
ACTA GEOLOGICA POLONICA,0001-5709,2300-1887,Geology
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,1755-6724,"Geosciences, Multidisciplinary"
ACTA GEOPHYSICA,1895-6572,1895-7455,Geochemistry & Geophysics
ACTA GEOTECHNICA,1861-1125,1861-1133,"Engineering, Geological"
ACTA GEOTECHNICA SLOVENICA,1854-0171,1854-0171,"Engineering, Geological"
ACTA HAEMATOLOGICA,0001-5792,1421-9662,Hematology
ACTA HERPETOLOGICA,1827-9635,1827-9643,Zoology
ACTA HISTOCHEMICA,0065-1281,1618-0372,Cell Biology
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,Cell Biology
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1734-1515,Fisheries | Zoology
ACTA INFORMATICA,0001-5903,1432-0525,"Computer Science, Information Systems"
ACTA MATERIALIA,1359-6454,1873-2453,"Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering"
ACTA MATHEMATICA,0001-5962,1871-2509,Mathematics
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,0168-9673,1618-3932,"Mathematics, Applied"
ACTA MATHEMATICA HUNGARICA,0236-5294,1588-2632,Mathematics
ACTA MATHEMATICA SCIENTIA,0252-9602,1572-9087,Mathematics
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,1439-7617,"Mathematics, Applied | Mathematics"
ACTA MECHANICA,0001-5970,1619-6937,Mechanics
ACTA MECHANICA SINICA,0567-7718,1614-3116,"Engineering, Mechanical | Mechanics"
ACTA MECHANICA SOLIDA SINICA,0894-9166,1860-2134,"Materials Science, Multidisciplinary | Mechanics"
ACTA MEDICA OKAYAMA,0386-300X,0386-300X,"Medicine, Research & Experimental"
ACTA MEDICA PORTUGUESA,0870-399X,1646-0758,"Medicine, General & Internal"
ACTA METALLURGICA SINICA,0412-1961,,Metallurgy & Metallurgical Engineering
ACTA METALLURGICA SINICA-ENGLISH LETTERS,1006-7191,2194-1289,Metallurgy & Metallurgical Engineering
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1588-2640,Immunology | Microbiology
ACTA MONTANISTICA SLOVACA,1335-1788,1335-1788,"Geosciences, Multidisciplinary | Mining & Mineral Processing"
ACTA NATURAE,2075-8251,2075-8251,Cell Biology
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1689-0035,Neurosciences
ACTA NEUROCHIRURGICA,0001-6268,0942-0940,Clinical Neurology | Surgery
ACTA NEUROLOGICA BELGICA,0300-9009,2240-2993,Clinical Neurology | Neurosciences
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,Clinical Neurology
ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,Clinical Neurology | Neurosciences | Pathology
ACTA NEUROPATHOLOGICA COMMUNICATIONS,2051-5960,2051-5960,Neurosciences
ACTA NEUROPSYCHIATRICA,0924-2708,1601-5215,Neurosciences | Psychiatry
ACTA NUMERICA,0962-4929,1474-0508,Mathematics
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412,Obstetrics & Gynecology
ACTA OCEANOLOGICA SINICA,0253-505X,1869-1099,Oceanography
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1502-3850,"Dentistry, Oral Surgery & Medicine"
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,Ecology
ACTA OF BIOENGINEERING AND BIOMECHANICS,1509-409X,2450-6303,"Biophysics | Engineering, Biomedical"
ACTA ONCOLOGICA,0284-186X,1651-226X,Oncology
ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,Ophthalmology
ACTA ORNITHOLOGICA,0001-6454,1734-8471,Ornithology
ACTA ORTHOPAEDICA,1745-3674,1745-3682,Orthopedics
ACTA ORTHOPAEDICA BELGICA,0001-6462,0001-6462,Orthopedics
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1017-995X,2589-1294,Orthopedics
ACTA ORTOPEDICA BRASILEIRA,1413-7852,1809-4406,Orthopedics
ACTA OTO-LARYNGOLOGICA,0001-6489,1651-2251,Otorhinolaryngology
ACTA OTORHINOLARYNGOLOGICA ITALICA,0392-100X,1827-675X,Otorhinolaryngology
ACTA PAEDIATRICA,0803-5253,1651-2227,Pediatrics
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1732-2421,Paleontology
ACTA PARASITOLOGICA,1230-2821,1896-1851,Parasitology | Veterinary Sciences | Zoology
ACTA PAULISTA DE ENFERMAGEM,0103-2100,1982-0194,Nursing
ACTA PETROLOGICA SINICA,1000-0569,2095-8927,Geology
ACTA PHARMACEUTICA,1330-0075,1846-9558,Pharmacology & Pharmacy
ACTA PHARMACEUTICA SINICA B,2211-3835,2211-3843,Pharmacology & Pharmacy
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,"Chemistry, Multidisciplinary | Pharmacology & Pharmacy"
ACTA PHYSICA POLONICA A,0587-4246,1898-794X,"Physics, Multidisciplinary"
ACTA PHYSICA POLONICA B,0587-4254,1509-5770,"Physics, Multidisciplinary"
ACTA PHYSICA SINICA,1000-3290,1000-3290,"Physics, Multidisciplinary"
ACTA PHYSICO-CHIMICA SINICA,1000-6818,1000-6818,"Chemistry, Physical"
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,Plant Sciences
ACTA PHYSIOLOGICA,1748-1708,1748-1716,Physiology
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,1346-7565,2189-7042,Plant Sciences
ACTA POLONIAE PHARMACEUTICA,0001-6837,2353-5288,Pharmacology & Pharmacy
ACTA POLYMERICA SINICA,,1000-3304,Polymer Science
ACTA POLYTECHNICA HUNGARICA,1785-8860,1785-8860,"Engineering, Multidisciplinary"
ACTA PROTOZOOLOGICA,0065-1583,1689-0027,Microbiology
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,Psychiatry
ACTA RADIOLOGICA,0284-1851,1600-0455,"Radiology, Nuclear Medicine & Medical Imaging"
ACTA SCIENTIAE VETERINARIAE,1678-0345,1679-9216,Veterinary Sciences
ACTA SCIENTIARUM-AGRONOMY,1679-9275,1807-8621,Agronomy
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,1644-0692,2545-1405,Horticulture
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,1807-8664,Multidisciplinary Sciences
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1578-2735,Neurosciences | Psychiatry
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,2083-9480,Plant Sciences
ACTAS UROLOGICAS ESPANOLAS,0210-4806,1699-7980,Urology & Nephrology
ACTA TROPICA,0001-706X,1873-6254,Parasitology | Tropical Medicine
ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,Veterinary Sciences
ACTA VETERINARIA BRNO,0001-7213,1801-7576,Veterinary Sciences
ACTA VETERINARIA HUNGARICA,0236-6290,1588-2705,Veterinary Sciences
ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147,Veterinary Sciences
ACTA VIROLOGICA,0001-723X,1336-2305,Virology
ACTA ZOOLOGICA,0001-7272,1463-6395,Anatomy & Morphology | Zoology
ACTA ZOOLOGICA BULGARICA,0324-0770,,Zoology
ACTUATORS,,2076-0825,"Engineering, Mechanical | Instruments & Instrumentation"
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,Integrative & Complementary Medicine | Neurosciences
ACUPUNCTURE IN MEDICINE,0964-5284,1759-9873,Integrative & Complementary Medicine
ADANSONIA,1280-8571,1639-4798,Plant Sciences
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,Rehabilitation | Sport Sciences
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,"Computer Science, Artificial Intelligence"
ADDICTION,0965-2140,1360-0443,Substance Abuse | Psychiatry
ADDICTION BIOLOGY,1355-6215,1369-1600,Biochemistry & Molecular Biology | Substance Abuse
ADDICTION SCIENCE & CLINICAL PRACTICE,1940-0640,1940-0640,Substance Abuse
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,Substance Abuse
ADDITIVE MANUFACTURING,2214-8604,2214-7810,"Engineering, Manufacturing | Materials Science, Multidisciplinary"
AD HOC NETWORKS,1570-8705,1570-8713,"Computer Science, Information Systems | Telecommunications"
AD HOC & SENSOR WIRELESS NETWORKS,1551-9899,1552-0633,"Computer Science, Information Systems | Telecommunications"
ADICCIONES,0214-4840,2604-6334,Substance Abuse
ADIPOCYTE,2162-3945,2162-397X,Endocrinology & Metabolism
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,1572-8757,"Chemistry, Physical | Engineering, Chemical"
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2048-4038,"Chemistry, Applied | Chemistry, Physical | Engineering, Chemical"
ADVANCED BIOLOGY,2701-0198,2701-0198,"Materials Science, Biomaterials"
ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,"Materials Science, Composites"
ADVANCED COMPOSITES AND HYBRID MATERIALS,2522-0128,2522-0136,"Nanoscience & Nanotechnology | Materials Science, Composites"
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,Pharmacology & Pharmacy
ADVANCED ELECTRONIC MATERIALS,2199-160X,2199-160X,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied"
ADVANCED ENERGY MATERIALS,1614-6832,1614-6840,"Chemistry, Physical | Energy & Fuels | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter"
ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,"Computer Science, Artificial Intelligence | Engineering, Multidisciplinary"
ADVANCED ENGINEERING MATERIALS,1438-1656,1527-2648,"Materials Science, Multidisciplinary"
ADVANCED FIBER MATERIALS,2524-7921,2524-793X,"Materials Science, Multidisciplinary | Materials Science, Textiles"
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter"
ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,"Engineering, Biomedical | Nanoscience & Nanotechnology | Materials Science, Biomaterials"
ADVANCED INTELLIGENT SYSTEMS,,2640-4567,"Automation & Control Systems | Computer Science, Artificial Intelligence | Robotics"
ADVANCED MATERIALS,0935-9648,1521-4095,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter"
ADVANCED MATERIALS INTERFACES,2196-7350,2196-7350,"Chemistry, Multidisciplinary | Materials Science, Multidisciplinary"
ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425,"Materials Science, Multidisciplinary"
ADVANCED MATERIALS TECHNOLOGIES,2365-709X,2365-709X,"Materials Science, Multidisciplinary"
ADVANCED NONLINEAR STUDIES,1536-1365,2169-0375,"Mathematics, Applied | Mathematics"
ADVANCED OPTICAL MATERIALS,2195-1071,2195-1071,"Materials Science, Multidisciplinary | Optics"
ADVANCED PHOTONICS,,2577-5421,Optics
ADVANCED POWDER TECHNOLOGY,0921-8831,1568-5527,"Engineering, Chemical"
ADVANCED QUANTUM TECHNOLOGIES,,2511-9044,Quantum Science & Technology | Optics
ADVANCED ROBOTICS,0169-1864,1568-5535,Robotics
ADVANCED SCIENCE,,2198-3844,"Chemistry, Multidisciplinary | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
ADVANCED STEEL CONSTRUCTION,1816-112X,,"Construction & Building Technology | Engineering, Civil | Materials Science, Characterization, Testing"
ADVANCED SUSTAINABLE SYSTEMS,2366-7486,2366-7486,"Green & Sustainable Science & Technology | Materials Science, Multidisciplinary"
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,1615-4169,"Chemistry, Applied | Chemistry, Organic"
ADVANCED THEORY AND SIMULATIONS,,2513-0390,Multidisciplinary Sciences
ADVANCED THERAPEUTICS,,2366-3987,Pharmacology & Pharmacy
ADVANCEMENTS OF MICROBIOLOGY,0079-4252,2545-3149,Microbiology
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,1533-4031,Pathology
ADVANCES IN APPLIED CERAMICS,1743-6753,1743-6761,"Materials Science, Ceramics"
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,0188-7009,1661-4909,"Mathematics, Applied | Physics, Mathematical"
ADVANCES IN APPLIED MATHEMATICS,0196-8858,1090-2074,"Mathematics, Applied"
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,2070-0733,2075-1354,"Mathematics, Applied | Mechanics"
ADVANCES IN APPLIED PROBABILITY,0001-8678,1475-6064,Statistics & Probability
ADVANCES IN ASTRONOMY,1687-7969,1687-7977,Astronomy & Astrophysics
ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1861-9533,Meteorology & Atmospheric Sciences
ADVANCES IN CALCULUS OF VARIATIONS,1864-8258,1864-8266,"Mathematics, Applied | Mathematics"
ADVANCES IN CEMENT RESEARCH,0951-7197,1751-7605,"Construction & Building Technology | Materials Science, Multidisciplinary"
ADVANCES IN CIVIL ENGINEERING,1687-8086,1687-8094,"Construction & Building Technology | Engineering, Civil"
ADVANCES IN CLIMATE CHANGE RESEARCH,1674-9278,1674-9278,Environmental Sciences | Meteorology & Atmospheric Sciences
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,1899-5276,2451-2680,"Medicine, Research & Experimental"
