,journal,issn-l,issn-e,categories,oa-id
31,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,1557-7325,"Computer Science, Cybernetics | Computer Science, Information Systems",S89276529
32,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,"Computer Science, Theory & Methods",S193109227
33,ACM TRANSACTIONS ON COMPUTING EDUCATION,1946-6226,1946-6226,"Education, Scientific Disciplines",S2764465379
34,ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,"Computer Science, Information Systems | Computer Science, Software Engineering",S90119964
35,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",S105046310
36,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1539-9087,1558-3465,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",S136160450
37,ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,"Computer Science, Software Engineering",S185367456
38,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,"Computer Science, Information Systems",S4394735545
39,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,2157-6912,"Computer Science, Artificial Intelligence | Computer Science, Information Systems",S2492086750
40,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,2160-6455,2160-6463,"Computer Science, Artificial Intelligence",S4210173818
41,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,1533-5399,1557-6051,"Computer Science, Information Systems | Computer Science, Software Engineering",S97833917
42,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,1556-472X,"Computer Science, Information Systems | Computer Science, Software Engineering",S41523882
43,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,"Computer Science, Software Engineering | Mathematics, Applied",S163326656
44,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,1558-1195,"Computer Science, Interdisciplinary Applications | Mathematics, Applied",S38703467
45,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,1551-6865,"Computer Science, Information Systems | Computer Science, Software Engineering | Computer Science, Theory & Methods",S19610489
46,ACM TRANSACTIONS ON PRIVACY AND SECURITY,2471-2566,2471-2574,"Computer Science, Information Systems",S4210174050
47,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,"Computer Science, Software Engineering",S41449414
48,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,1936-7406,1936-7414,"Computer Science, Hardware & Architecture",S112809824
49,ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,1550-4867,"Computer Science, Information Systems | Telecommunications",S170502224
50,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,"Computer Science, Software Engineering",S142627899
51,ACM TRANSACTIONS ON STORAGE,1553-3077,1553-3093,"Computer Science, Hardware & Architecture | Computer Science, Software Engineering",S158124317
52,ACM TRANSACTIONS ON THE WEB,1559-1131,1559-114X,"Computer Science, Information Systems | Computer Science, Software Engineering",S131231701
53,ACOUSTICAL PHYSICS,1063-7710,1562-6865,Acoustics,S207226196
54,ACOUSTICS AUSTRALIA,0814-6039,1839-2571,Acoustics,S156092988
55,ACS APPLIED ELECTRONIC MATERIALS,,2637-6113,"Engineering, Electrical & Electronic | Materials Science, Multidisciplinary",
56,ACS APPLIED ENERGY MATERIALS,2574-0962,2574-0962,"Chemistry, Physical | Energy & Fuels | Materials Science, Multidisciplinary",S4210188958
57,ACS APPLIED MATERIALS & INTERFACES,1944-8244,1944-8252,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S164001016
58,ACS APPLIED NANO MATERIALS,,2574-0970,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",
59,ACS APPLIED POLYMER MATERIALS,2637-6105,2637-6105,"Materials Science, Multidisciplinary | Polymer Science",S4210221646
60,ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,2373-9878,"Materials Science, Biomaterials",S2764739176
61,ACS CATALYSIS,2155-5435,2155-5435,"Chemistry, Physical",S37391459
62,ACS CENTRAL SCIENCE,2374-7943,2374-7951,"Chemistry, Multidisciplinary",S2765035057
63,ACS CHEMICAL BIOLOGY,1554-8929,1554-8937,Biochemistry & Molecular Biology,S118914585
64,ACS CHEMICAL NEUROSCIENCE,1948-7193,1948-7193,"Biochemistry & Molecular Biology | Chemistry, Medicinal | Neurosciences",S180465690
65,ACS EARTH AND SPACE CHEMISTRY,2472-3452,2472-3452,"Chemistry, Multidisciplinary | Geochemistry & Geophysics",S4210178290
66,ACS ENERGY LETTERS,2380-8195,2380-8195,"Chemistry, Physical | Electrochemistry | Energy & Fuels | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S2764414965
67,ACS INFECTIOUS DISEASES,2373-8227,2373-8227,"Chemistry, Medicinal | Infectious Diseases",S2764646616
68,ACS MACRO LETTERS,,2161-1653,Polymer Science,
69,ACS MATERIALS LETTERS,,2639-4979,"Materials Science, Multidisciplinary",
70,ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,1948-5875,"Chemistry, Medicinal",S191852912
71,ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,Sport Sciences,S2765028974
72,ACS NANO,1936-0851,1936-086X,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary",S145476921
73,ACS OMEGA,2470-1343,2470-1343,"Chemistry, Multidisciplinary",S4210239500
74,ACS PHOTONICS,2330-4022,2330-4022,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Optics | Physics, Applied | Physics, Condensed Matter",S135184319
75,ACS SENSORS,2379-3694,2379-3694,"Chemistry, Multidisciplinary | Chemistry, Analytical | Nanoscience & Nanotechnology",S2764631046
76,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,2168-0485,"Chemistry, Multidisciplinary | Green & Sustainable Science & Technology | Engineering, Chemical",S2502047864
77,ACS SYNTHETIC BIOLOGY,2161-5063,2161-5063,Biochemical Research Methods,S54167817
78,ACTA ACUSTICA,,2681-4617,Acoustics,
79,ACTA ADRIATICA,0001-5113,1846-0453,Marine & Freshwater Biology | Oceanography,S2764458511
80,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,"Agriculture, Dairy & Animal Science",S137056669
81,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,Agronomy | Soil Science,S100414002
82,ACTA ALIMENTARIA,0139-3006,1588-2535,Food Science & Technology | Nutrition & Dietetics,S105252228
83,ACTA AMAZONICA,0044-5967,1809-4392,Plant Sciences | Ecology | Zoology,S142246141
84,ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,Anesthesiology,S177321322
85,ACTA APPLICANDAE MATHEMATICAE,0167-8019,1572-9036,"Mathematics, Applied",S3372071
86,ACTA ARITHMETICA,0065-1036,1730-6264,Mathematics,S141074886
87,ACTA ASTRONAUTICA,0094-5765,1879-2030,"Engineering, Aerospace",S179591353
88,ACTA ASTRONOMICA,0001-5237,0001-5237,Astronomy & Astrophysics,S83016894
89,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,Biochemistry & Molecular Biology | Biophysics,S145090216
90,ACTA BIOCHIMICA POLONICA,,1734-154X,Biochemistry & Molecular Biology,
91,ACTA BIOETHICA,0717-5906,1726-569X,Medical Ethics,S206176358
92,ACTA BIOLOGICA COLOMBIANA,0120-548X,1900-1649,Plant Sciences | Zoology,S4210167548
93,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1898-0295,Plant Sciences,S106120157
94,ACTA BIOMATERIALIA,1742-7061,1878-7568,"Engineering, Biomedical | Materials Science, Biomaterials",S173145877
95,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,Medical Laboratory Technology,S168289741
96,ACTA BIOTHEORETICA,0001-5342,1572-8358,Mathematical & Computational Biology,S61528851
97,ACTA BOTANICA BRASILICA,0102-3306,1677-941X,Plant Sciences,S165027284
98,ACTA BOTANICA CROATICA,0365-0588,1847-8476,Plant Sciences,S137443597
99,ACTA BOTANICA MEXICANA,,2448-7589,Plant Sciences,
100,ACTA CARDIOLOGICA,0001-5385,1784-973X,Cardiac & Cardiovascular System,S18670189
101,ACTA CARDIOLOGICA SINICA,1011-6842,1011-6842,Cardiac & Cardiovascular System,S78959366
102,ACTA CARSOLOGICA,0583-6050,1580-2612,"Geosciences, Multidisciplinary",S189689514
103,ACTA CHIMICA SINICA,0567-7351,,"Chemistry, Multidisciplinary",S205376447
104,ACTA CHIMICA SLOVENICA,1318-0207,1580-3155,"Chemistry, Multidisciplinary",S93081443
105,ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,Zoology,S114405033
106,ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0001-5415,0001-5415,Orthopedics,S18024076
107,ACTA CHIRURGICA BELGICA,0001-5458,2577-0160,Surgery,S198770857
108,ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,"Chemistry, Analytical",S117870290
109,ACTA CIRURGICA BRASILEIRA,0102-8650,1678-2674,Surgery,S44202665
110,ACTA CLINICA BELGICA,1784-3286,2295-3337,"Medicine, General & Internal",S87184256
111,ACTA CLINICA CROATICA,0353-9466,1333-9451,"Medicine, General & Internal",S60988351
112,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2053-2733,2053-2733,"Chemistry, Multidisciplinary | Crystallography",S4393918093
113,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,,2052-5206,"Chemistry, Multidisciplinary | Crystallography",
114,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,2053-2296,"Chemistry, Multidisciplinary | Crystallography",S4393918092
115,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2059-7983,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography,S4393918103
116,ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,,2053-230X,Biochemical Research Methods | Biochemistry & Molecular Biology | Biophysics | Crystallography,
117,ACTA CYTOLOGICA,0001-5547,1938-2650,Pathology,S101987544
118,ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,Dermatology,S4210210846
119,ACTA DERMATOVENEROLOGICA CROATICA,1330-027X,1847-6538,Dermatology,S90215467
120,ACTA DIABETOLOGICA,0940-5429,1432-5233,Endocrinology & Metabolism,S112923101
121,ACTA ENDOCRINOLOGICA-BUCHAREST,1841-0987,1843-066X,Endocrinology & Metabolism,S4210240352
122,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,Entomology,S64861092
123,ACTA ETHOLOGICA,0873-9749,1437-9546,Behavioral Sciences | Zoology,S168533230
124,ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1784-3227,Gastroenterology & Hepatology,S4210171275
125,ACTA GEODAETICA ET GEOPHYSICA,2213-5812,2213-5820,Geochemistry & Geophysics,S4210181236
126,ACTA GEODYNAMICA ET GEOMATERIALIA,1214-9705,,Geochemistry & Geophysics | Mining & Mineral Processing,S2498571707
127,ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1581-6613,1581-8314,"Geography, Physical",S95537937
128,ACTA GEOLOGICA POLONICA,0001-5709,2300-1887,Geology,S96739853
129,ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,1755-6724,"Geosciences, Multidisciplinary",S103198402
130,ACTA GEOPHYSICA,1895-6572,1895-7455,Geochemistry & Geophysics,S45042403
131,ACTA GEOTECHNICA,1861-1125,1861-1133,"Engineering, Geological",S106535470
132,ACTA GEOTECHNICA SLOVENICA,1854-0171,1854-0171,"Engineering, Geological",S983200334
133,ACTA HAEMATOLOGICA,0001-5792,1421-9662,Hematology,S182948766
134,ACTA HERPETOLOGICA,1827-9635,1827-9643,Zoology,S103871702
135,ACTA HISTOCHEMICA,0065-1281,1618-0372,Cell Biology,S4210188353
136,ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,Cell Biology,S151127207
137,ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1734-1515,Fisheries | Zoology,S107494347
138,ACTA INFORMATICA,0001-5903,1432-0525,"Computer Science, Information Systems",S84409463
139,ACTA MATERIALIA,1359-6454,1873-2453,"Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering",S64016596
140,ACTA MATHEMATICA,0001-5962,1871-2509,Mathematics,S113542759
141,ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,0168-9673,1618-3932,"Mathematics, Applied",S77092102
142,ACTA MATHEMATICA HUNGARICA,0236-5294,1588-2632,Mathematics,S12965339
143,ACTA MATHEMATICA SCIENTIA,0252-9602,1572-9087,Mathematics,S53533488
144,ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,1439-7617,"Mathematics, Applied | Mathematics",S69859562
145,ACTA MECHANICA,0001-5970,1619-6937,Mechanics,S87240457
146,ACTA MECHANICA SINICA,0567-7718,1614-3116,"Engineering, Mechanical | Mechanics",S130004147
147,ACTA MECHANICA SOLIDA SINICA,0894-9166,1860-2134,"Materials Science, Multidisciplinary | Mechanics",S21826315
148,ACTA MEDICA OKAYAMA,0386-300X,0386-300X,"Medicine, Research & Experimental",S205684615
149,ACTA MEDICA PORTUGUESA,0870-399X,1646-0758,"Medicine, General & Internal",S147790641
150,ACTA METALLURGICA SINICA,0412-1961,,Metallurgy & Metallurgical Engineering,S4210188004
151,ACTA METALLURGICA SINICA-ENGLISH LETTERS,1006-7191,2194-1289,Metallurgy & Metallurgical Engineering,S124084054
152,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1588-2640,Immunology | Microbiology,S4210178206
153,ACTA MONTANISTICA SLOVACA,1335-1788,1335-1788,"Geosciences, Multidisciplinary | Mining & Mineral Processing",S184108653
154,ACTA NATURAE,2075-8251,2075-8251,Cell Biology,S2491839190
155,ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1689-0035,Neurosciences,S87096862
156,ACTA NEUROCHIRURGICA,0001-6268,0942-0940,Clinical Neurology | Surgery,S4210178590
157,ACTA NEUROLOGICA BELGICA,0300-9009,2240-2993,Clinical Neurology | Neurosciences,S14125373
158,ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,Clinical Neurology,S66034498
159,ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,Clinical Neurology | Neurosciences | Pathology,S198620474
160,ACTA NEUROPATHOLOGICA COMMUNICATIONS,2051-5960,2051-5960,Neurosciences,S2764650462
161,ACTA NEUROPSYCHIATRICA,0924-2708,1601-5215,Neurosciences | Psychiatry,S173281865
162,ACTA NUMERICA,0962-4929,1474-0508,Mathematics,S124973578
163,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412,Obstetrics & Gynecology,S192518766
164,ACTA OCEANOLOGICA SINICA,0253-505X,1869-1099,Oceanography,S55118949
165,ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1502-3850,"Dentistry, Oral Surgery & Medicine",S42091764
166,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,Ecology,S127446044
167,ACTA OF BIOENGINEERING AND BIOMECHANICS,1509-409X,2450-6303,"Biophysics | Engineering, Biomedical",S186271504
168,ACTA ONCOLOGICA,0284-186X,1651-226X,Oncology,S1043257
169,ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,Ophthalmology,S21165490
170,ACTA ORNITHOLOGICA,0001-6454,1734-8471,Ornithology,S45405298
171,ACTA ORTHOPAEDICA,1745-3674,1745-3682,Orthopedics,S58634475
172,ACTA ORTHOPAEDICA BELGICA,0001-6462,0001-6462,Orthopedics,S141543466
173,ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1017-995X,2589-1294,Orthopedics,S104441155
174,ACTA ORTOPEDICA BRASILEIRA,1413-7852,1809-4406,Orthopedics,S205911048
175,ACTA OTO-LARYNGOLOGICA,0001-6489,1651-2251,Otorhinolaryngology,S198335345
176,ACTA OTORHINOLARYNGOLOGICA ITALICA,0392-100X,1827-675X,Otorhinolaryngology,S202036630
177,ACTA PAEDIATRICA,0803-5253,1651-2227,Pediatrics,S178469169
178,ACTA PALAEONTOLOGICA POLONICA,0567-7920,1732-2421,Paleontology,S63318184
179,ACTA PARASITOLOGICA,1230-2821,1896-1851,Parasitology | Veterinary Sciences | Zoology,S120551135
180,ACTA PAULISTA DE ENFERMAGEM,0103-2100,1982-0194,Nursing,S64820383
181,ACTA PETROLOGICA SINICA,1000-0569,2095-8927,Geology,S158389693
182,ACTA PHARMACEUTICA,1330-0075,1846-9558,Pharmacology & Pharmacy,S6622299
183,ACTA PHARMACEUTICA SINICA B,2211-3835,2211-3843,Pharmacology & Pharmacy,S2736993989
184,ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,"Chemistry, Multidisciplinary | Pharmacology & Pharmacy",S4210186974
185,ACTA PHYSICA POLONICA A,0587-4246,1898-794X,"Physics, Multidisciplinary",S63733671
186,ACTA PHYSICA POLONICA B,0587-4254,1509-5770,"Physics, Multidisciplinary",S131967590
187,ACTA PHYSICA SINICA,1000-3290,1000-3290,"Physics, Multidisciplinary",S950076683
188,ACTA PHYSICO-CHIMICA SINICA,1000-6818,1000-6818,"Chemistry, Physical",S138757394
189,ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,Plant Sciences,S194146006
190,ACTA PHYSIOLOGICA,1748-1708,1748-1716,Physiology,S204890612
191,ACTA PHYTOTAXONOMICA ET GEOBOTANICA,1346-7565,2189-7042,Plant Sciences,
192,ACTA POLONIAE PHARMACEUTICA,0001-6837,2353-5288,Pharmacology & Pharmacy,S157208032
193,ACTA POLYMERICA SINICA,,1000-3304,Polymer Science,
194,ACTA POLYTECHNICA HUNGARICA,1785-8860,1785-8860,"Engineering, Multidisciplinary",S160800360
195,ACTA PROTOZOOLOGICA,0065-1583,1689-0027,Microbiology,S176982244
196,ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,Psychiatry,S199498439
197,ACTA RADIOLOGICA,0284-1851,1600-0455,"Radiology, Nuclear Medicine & Medical Imaging",S160113820
198,ACTA SCIENTIAE VETERINARIAE,1678-0345,1679-9216,Veterinary Sciences,S167064729
199,ACTA SCIENTIARUM-AGRONOMY,1679-9275,1807-8621,Agronomy,S3983301
200,ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,1644-0692,2545-1405,Horticulture,S957709288
201,ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,1807-8664,Multidisciplinary Sciences,S107316028
202,ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1578-2735,Neurosciences | Psychiatry,S167709542
203,ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,2083-9480,Plant Sciences,S100464430
204,ACTAS UROLOGICAS ESPANOLAS,0210-4806,1699-7980,Urology & Nephrology,S38879697
205,ACTA TROPICA,0001-706X,1873-6254,Parasitology | Tropical Medicine,S190456265
206,ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,Veterinary Sciences,S86415907
207,ACTA VETERINARIA BRNO,0001-7213,1801-7576,Veterinary Sciences,S149074594
208,ACTA VETERINARIA HUNGARICA,0236-6290,1588-2705,Veterinary Sciences,S27908409
209,ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147,Veterinary Sciences,S102804277
210,ACTA VIROLOGICA,0001-723X,1336-2305,Virology,S203131252
211,ACTA ZOOLOGICA,0001-7272,1463-6395,Anatomy & Morphology | Zoology,S144479944
212,ACTA ZOOLOGICA BULGARICA,0324-0770,,Zoology,S81028643
213,ACTUATORS,,2076-0825,"Engineering, Mechanical | Instruments & Instrumentation",
214,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,Integrative & Complementary Medicine | Neurosciences,S4210194715
215,ACUPUNCTURE IN MEDICINE,0964-5284,1759-9873,Integrative & Complementary Medicine,S157213201
216,ADANSONIA,1280-8571,1639-4798,Plant Sciences,S119583998
217,ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,Rehabilitation | Sport Sciences,S18225753
218,ADAPTIVE BEHAVIOR,1059-7123,1741-2633,"Computer Science, Artificial Intelligence",S183337005
219,ADDICTION,0965-2140,1360-0443,Substance Abuse | Psychiatry,S70513841
220,ADDICTION BIOLOGY,1355-6215,1369-1600,Biochemistry & Molecular Biology | Substance Abuse,S118332200
221,ADDICTION SCIENCE & CLINICAL PRACTICE,1940-0640,1940-0640,Substance Abuse,S152134104
222,ADDICTIVE BEHAVIORS,0306-4603,1873-6327,Substance Abuse,S186215666
223,ADDITIVE MANUFACTURING,2214-8604,2214-7810,"Engineering, Manufacturing | Materials Science, Multidisciplinary",S2764842179
224,AD HOC NETWORKS,1570-8705,1570-8713,"Computer Science, Information Systems | Telecommunications",S4210177528
225,AD HOC & SENSOR WIRELESS NETWORKS,1551-9899,1552-0633,"Computer Science, Information Systems | Telecommunications",S4387282763
226,ADICCIONES,0214-4840,2604-6334,Substance Abuse,S174685111
227,ADIPOCYTE,2162-3945,2162-397X,Endocrinology & Metabolism,S4210208160
228,ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,1572-8757,"Chemistry, Physical | Engineering, Chemical",S24000496
229,ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2048-4038,"Chemistry, Applied | Chemistry, Physical | Engineering, Chemical",S11826920
230,ADVANCED BIOLOGY,2701-0198,2701-0198,"Materials Science, Biomaterials",S4210178898
231,ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,"Materials Science, Composites",S45322501
232,ADVANCED COMPOSITES AND HYBRID MATERIALS,2522-0128,2522-0136,"Nanoscience & Nanotechnology | Materials Science, Composites",S4210207107
233,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,Pharmacology & Pharmacy,S114437232
234,ADVANCED ELECTRONIC MATERIALS,2199-160X,2199-160X,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied",S2765003236
235,ADVANCED ENERGY MATERIALS,1614-6832,1614-6840,"Chemistry, Physical | Energy & Fuels | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter",S2502627819
236,ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,"Computer Science, Artificial Intelligence | Engineering, Multidisciplinary",S112141509
237,ADVANCED ENGINEERING MATERIALS,1438-1656,1527-2648,"Materials Science, Multidisciplinary",S156255550
238,ADVANCED FIBER MATERIALS,2524-7921,2524-793X,"Materials Science, Multidisciplinary | Materials Science, Textiles",S4210182575
239,ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,"Chemistry, Multidisciplinary | Chemistry, Physical | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied | Physics, Condensed Matter",S135204980
240,ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,"Engineering, Biomedical | Nanoscience & Nanotechnology | Materials Science, Biomaterials",S2500736452
